	asset	allocation
0	AAPL	0.15007134609430764
1	SPY	0.64208843693349
2	TSLA	-5.778991334784356e-20
3	WMT	0.20784021697220234
4	MSFT	-1.1104907638412378e-19
5	DIS	-1.7775674704473432e-19
