month	price
2025-01-01	5.055
2025-02-01	4.264
2025-03-01	3.742
2025-04-01	3.576
2025-05-01	3.237
2025-06-01	2.977
2025-07-01	3.116
2025-08-01	3.347
2025-09-01	3.742
2025-10-01	3.718
2025-11-01	4.42
2025-12-01	4.856
