	AAPL	SPY	TSLA	WMT	MSFT	DIS
AAPL	0.004014141684979044	0.0010530678157506294	0.0028287542775485954	-0.0005040168874794241	0.0022955217719997606	0.00043870230949179126
SPY	0.0010530678157506294	0.0013796388861863293	0.0028176086471231893	0.0006251392397368412	0.001843209363741681	0.0024070414295647422
TSLA	0.0028287542775485954	0.0028176086471231893	0.02612421113468701	0.002303569717364819	0.002710116675812556	0.007064486546333225
WMT	-0.0005040168874794241	0.0006251392397368412	0.002303569717364819	0.004080345244271132	-0.0006541019665262539	0.0012797716999199055
MSFT	0.0022955217719997606	0.001843209363741681	0.002710116675812556	-0.0006541019665262539	0.008978125611460714	0.00423702835470466
DIS	0.00043870230949179126	0.0024070414295647422	0.007064486546333225	0.0012797716999199055	0.00423702835470466	0.008826327999191483
